========================================
14	20	0.576801
--------------
[0.5511417827528668, 0.5729382172471331]
[0.5486896677927078, 0.5895203322072922]
[0.5653126263831999, 0.5916773736168001]
[0.5508948573618012, 0.5789111426381989]
[0.5793988875847554, 0.6175891124152445]
[0.5612239140703648, 0.6027140859296352]
[0.5578241045018167, 0.5840238954981832]
[0.5605335997418016, 0.5866004002581985]
[0.5694275211456783, 0.6083564788543216]
[0.5686153636141614, 0.5946846363858386]
[0.5495503257882491, 0.5902456742117509]
[0.5520110439268926, 0.5747229560731073]
[0.5670482984978392, 0.6058817015021608]
[0.5736597488683695, 0.5938262511316306]
[0.5660840213032476, 0.5930279786967523]
[0.524095753324625, 0.5585542466753749]
[0.5405499288483172, 0.5696800711516828]
[0.5253153453529759, 0.5458046546470242]
[0.5181051913944182, 0.5549128086055818]
[0.5696114092133766, 0.5965945907866235]
[0.5300183845762492, 0.5734236154237509]
[0.5675795907676805, 0.5939024092323194]
[0.542899967618426, 0.5958720323815739]
[0.5641538107997445, 0.5897521892002556]
[0.5772822705017556, 0.6035397294982444]
[0.5600751505204851, 0.5812148494795149]
[0.5513158002057303, 0.5780501997942697]
[0.5511779059545918, 0.5747040940454082]
[0.574341523314262, 0.600658476685738]
[0.5371478917935486, 0.5707901082064515]
[0.5540287101202265, 0.5757592898797735]
[0.5564884678041715, 0.5966035321958285]
[0.5593737067102577, 0.5866602932897423]
[0.5562192250138901, 0.5778507749861098]
[0.5395467049112072, 0.5801872950887929]
[0.5487016297232103, 0.5754903702767897]
[0.5595940681898555, 0.5857779318101446]
[0.5496676012039214, 0.5715803987960786]
[0.5657181369786175, 0.5917598630213825]
[0.5691532554540765, 0.5857947445459236]
[0.5604333097813046, 0.5862946902186954]
[0.5595062991947644, 0.5869117008052356]
[0.5686115195106599, 0.5945484804893401]
[0.5535443568597088, 0.5801096431402911]
[0.5703445390529046, 0.5877814609470954]
[0.5569575389384316, 0.5795284610615685]
[0.5707778348202877, 0.6056921651797122]
